mcg,gvh,lip,chg,aac,alm1,alm2,label
0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
